#{"t_start": 1785568398.1002722, "env_id": "None"}
r,l,t,is_success
16.391641,200,44.802783,False
302.802165,65,57.400156,True
319.895579,57,68.341248,True
17.857215,200,106.660198,False
342.129199,67,119.451759,True
327.807773,59,130.669911,True
346.39878,56,141.393331,True
320.914201,49,150.895776,True
319.042966,31,156.950944,True
324.110427,76,171.995282,True
46.589811,200,210.759791,False
284.7843,36,217.680258,True
36.682321,120,240.908252,False
323.554672,62,253.001184,True
308.654803,27,258.226023,True
297.554938,42,266.264383,True
314.725739,31,272.569735,True
322.862014,32,279.126647,True
37.607852,200,318.492787,False
310.513026,42,326.900566,True
344.71851,61,361.918302,True
257.660258,113,383.582191,True
287.466718,63,395.59669,True
335.907089,61,407.221875,True
329.751236,53,417.416309,True
317.812651,30,423.199482,True
286.58988,44,431.545851,True
267.556962,31,437.582756,True
288.983992,59,448.874822,True
-195.528971,103,468.436995,False
292.649632,58,479.45589,True
12.160933,200,519.406167,False
319.728552,82,536.648243,True
304.770868,44,545.268044,True
290.03331,41,553.20225,True
324.941208,28,558.659048,True
310.139988,51,568.513148,True
54.093691,200,606.973483,False
310.854369,58,618.076714,True
336.169802,43,626.22332,True
317.874864,49,636.396667,True
300.755449,85,653.255701,True
330.7644,34,660.466786,True
308.489174,34,667.059152,True
50.99074,200,729.485441,False
319.700879,16,732.569827,True
298.451882,34,739.076081,True
314.829423,56,749.794333,True
38.400391,200,788.792531,False
-42.0188,28,794.214487,False
288.632069,22,798.46475,True
304.98284,63,810.521242,True
332.382369,47,819.463003,True
337.720163,54,829.760984,True
286.954481,63,841.864024,True
26.090553,200,880.759489,False
289.524388,24,885.428412,True
296.151685,32,891.653533,True
295.086554,26,896.67573,True
54.304097,70,910.250765,False
6.100335,200,949.069957,False
319.269238,33,955.520731,True
308.792583,63,967.738893,True
-22.947467,200,1006.339933,False
300.716333,42,1014.426584,True
319.286769,36,1021.452935,True
320.485422,36,1052.89055,True
315.726816,41,1061.080875,True
294.418895,29,1066.819261,True
-11.374923,200,1105.339868,False
-7.902912,200,1145.592111,False
336.895703,73,1160.012213,True
