#{"t_start": 1785568398.1002722, "env_id": "None"}
r,l,t,is_success
293.593198,68,19.100916,True
324.78435,56,30.008828,True
308.238901,45,38.845526,True
297.419553,49,48.261173,True
293.456223,58,59.509446,True
325.701169,52,69.486056,True
-189.265184,119,92.406095,False
328.371656,49,101.756648,True
312.914651,53,111.843579,True
315.898837,73,125.74272,True
306.784681,63,137.741921,True
313.0206,56,148.542285,True
271.984461,50,158.316239,True
328.983686,53,168.908445,True
300.430579,77,183.835493,True
317.478627,49,193.345316,True
296.7535,46,202.31627,True
295.75591,87,219.020359,True
335.077645,51,228.790916,True
288.569492,63,241.103535,True
270.045944,15,244.061634,True
286.431276,48,253.399859,True
292.728742,122,277.530824,True
314.511423,47,286.753612,True
293.62121,69,300.675159,True
311.327101,54,311.033096,True
289.321328,91,329.046247,True
-9.713674,120,375.370089,False
282.366271,65,387.782568,True
326.021325,60,399.222416,True
-16.934782,23,403.581442,False
328.526721,58,414.728136,True
272.51488,71,428.285143,True
331.085566,57,439.305976,True
309.542893,29,444.877202,True
289.154747,15,447.730283,True
286.993089,42,455.745952,True
301.21865,57,466.534114,True
303.425026,70,479.834624,True
327.182372,40,487.486193,True
330.382522,28,492.852363,True
328.92518,47,501.916964,True
297.84847,30,508.282843,True
298.796812,12,510.780702,True
306.610178,34,517.831454,True
294.717569,13,520.616855,True
310.662731,52,531.486829,True
316.457883,39,539.605566,True
332.486135,62,551.662567,True
323.164693,61,563.47407,True
287.173574,52,573.490924,True
323.395074,62,585.425174,True
304.280184,17,588.730388,True
283.978118,56,599.522508,True
299.493657,29,605.064616,True
276.759944,57,615.977862,True
327.546142,62,627.967813,True
304.9453,16,631.355183,True
309.357032,40,639.268596,True
306.890563,49,648.921931,True
295.173611,46,658.721049,True
265.558393,81,674.348552,True
286.798119,31,704.292692,True
304.884514,40,711.981096,True
50.315964,200,750.363628,False
-193.336959,77,765.777159,False
23.410378,200,804.210873,False
317.818794,44,812.605596,True
282.911508,53,822.685506,True
318.187813,58,833.785495,True
309.543709,36,840.712696,True
311.580477,41,848.61953,True
277.413816,77,863.484324,True
321.732939,48,872.972718,True
300.11511,77,887.968319,True
290.97592,16,891.07204,True
42.8507,200,929.763509,False
299.5387,32,935.958906,True
314.65546,23,940.425476,True
276.905341,30,946.335536,True
10.994626,200,985.029279,False
305.757672,45,993.712747,True
290.801957,33,1000.1267,True
323.628024,61,1011.911775,True
323.318133,71,1050.094588,True
311.902962,33,1056.702223,True
280.727137,39,1064.461591,True
305.376828,14,1067.212552,True
50.800539,200,1105.727583,False
320.735326,64,1118.502511,True
2.399293,200,1158.645757,False
325.651332,36,1165.519696,True
