episode,seed,git_hash,cell,success_at_default_tol,grasp,lift,termination,steps,place_err_mm,tcp_err_at_release_mm,scatter_mm,release_step,obj_settled,max_step_dist_mm,action_smoothing,control_hz,max_joint_vel,n_substeps,obs_latency_steps,max_episode_steps,solver_timestep,solver_iterations,solver_impratio,solver_solref_scale,collision_steps,safety_clamped,safety_vetoed,clamp_rate,obj_r,obj_th,obj_yaw,obj_half_w,obj_half_h,obj_mass,mu_obj,mu_table,tgt_r,tgt_th,kp_scale_mean,kv_scale_mean,frictionloss_scale_mean,reward
0,20000,35ace65,v2_solver_solref0.5,1,1,1,success,60,10.19509544511534,16.411332011633434,24.988829832351065,53,1,30.0,0.45,20.0,1.0,25,1,200,0.002,100,10.0,0.5,0,48,0,0.8,0.34741104842827836,-0.22488081336703158,-2.9929271661528913,0.021531837245299945,0.030294397008563945,0.031170807889755143,1.4790102422867273,0.6505728288848772,0.36177748880722493,0.553221044270187,1.0058264735349158,0.9790347712109021,1.0068289612867283,281.7199747913046
1,20001,35ace65,v2_solver_solref0.5,1,1,1,success,51,7.440968909021906,19.37920528754232,16.28703028625797,42,1,30.0,0.45,20.0,1.0,25,1,200,0.002,100,10.0,0.5,0,38,0,0.7450980392156863,0.3062269708028256,-0.2849828383105404,2.8920743874093615,0.022822678545831112,0.035721230882053055,0.11400167739247835,1.6032712890213876,1.2572543610793447,0.337332175301131,0.4884081377622979,0.9544063031971912,1.062735744498996,1.0891749215866655,281.571961917987
2,20002,35ace65,v2_solver_solref0.5,1,1,1,success,63,13.561363123152688,17.01304295286389,10.760564350206948,55,1,30.0,0.45,20.0,1.0,25,1,200,0.002,100,10.0,0.5,0,53,0,0.8412698412698413,0.37057453779134675,-0.717792457216367,1.7865612530983936,0.02385596414455668,0.037045459966174726,0.09782532932239431,1.9430369836375774,0.7238261602467481,0.3079013259330847,0.23441956706618614,0.9852990289367732,0.9917019533245562,1.0859406203171424,290.75070038169304
3,20003,35ace65,v2_solver_solref0.5,1,1,1,success,69,9.030563805679266,29.67921610053348,23.741576683990456,48,1,30.0,0.45,20.0,1.0,25,1,200,0.002,100,10.0,0.5,0,46,0,0.6666666666666666,0.3312793740982412,-0.49865804500837974,2.290420228048643,0.023147305410518394,0.03609241389326142,0.08943566029444554,1.286961032223358,1.1841329524931838,0.35381132867852483,0.25984727723198925,1.0664166669318604,0.9451551336221603,1.0955363878384492,283.33557473093026
4,20004,35ace65,v2_solver_solref0.5,1,1,1,success,59,17.62854895739587,22.446668073190594,8.776915300142376,54,1,30.0,0.45,20.0,1.0,25,1,200,0.002,100,10.0,0.5,0,38,0,0.6440677966101694,0.3587775185467205,-0.3710411707197539,-3.036194887059885,0.026126714768515018,0.029807332267738816,0.09443037700668214,1.5428162891128028,1.0913316606286534,0.356187830951595,0.6029860859071946,1.0223682466811943,1.0149774282601849,0.9167070033909217,284.353058655564
5,20005,35ace65,v2_solver_solref0.5,0,1,0,object_lost,189,335.14565809273597,nan,nan,-1,0,30.0,0.45,20.0,1.0,25,1,200,0.002,100,10.0,0.5,0,177,0,0.9365079365079365,0.33455991156192477,-0.5668271439135467,2.6091757878817043,0.025294713748749507,0.031089997437608347,0.07181639868093634,1.995463083936362,0.9699935812781522,0.36221794635239496,0.561913769760857,0.9470165784887327,0.9294974156072909,1.08710498577009,-184.2873488435821
6,20006,35ace65,v2_solver_solref0.5,1,1,1,success,59,20.8145889861765,14.023493675634148,11.500392401267149,52,1,30.0,0.45,20.0,1.0,25,1,200,0.002,100,10.0,0.5,0,45,0,0.7627118644067796,0.3175161176555032,-0.6903909623638597,-2.2630603092208967,0.022953397961132372,0.03117940827015617,0.04928170781271206,1.7196025253132647,0.6436483383559161,0.3806241673747191,0.24108269586674502,1.025890625926406,1.118790110251128,1.0480395486391612,289.3943255201404
7,20007,35ace65,v2_solver_solref0.5,1,1,1,success,70,4.607314146183115,12.280841522784163,10.080021176202203,65,1,30.0,0.45,20.0,1.0,25,1,200,0.002,100,10.0,0.5,0,54,0,0.7714285714285715,0.3735795635689171,-0.6114608083175758,3.0517696782990216,0.025303080583736808,0.03835861541493824,0.04060365293728486,1.3475430593957396,1.319349972191734,0.3745486645762045,0.3464039398949948,0.9700875517096347,0.989293135885638,1.0888997619524863,289.95572157560696
8,20008,35ace65,v2_solver_solref0.5,1,1,1,success,52,14.99535488226977,19.28903856901467,8.24322571531445,44,1,30.0,0.45,20.0,1.0,25,1,200,0.002,100,10.0,0.5,0,43,0,0.8269230769230769,0.3831813414521932,-0.3565248785997729,1.8798234646220564,0.024451414492418645,0.038503375765708836,0.057525689653307024,1.2298579368012788,1.3901898509710024,0.3367886603067758,0.43946340554021873,1.0871621078117117,1.0233386793326573,0.9119927592223422,284.34640073183573
9,20009,35ace65,v2_solver_solref0.5,1,1,1,success,52,6.164696619472663,17.66608796598757,16.37903532960757,45,1,30.0,0.45,20.0,1.0,25,1,200,0.002,100,10.0,0.5,0,40,0,0.7692307692307693,0.33148061109625215,-0.5135002413416396,-0.05430388239628181,0.0212055825380661,0.030647378773755462,0.056360572246190344,1.9109044961726596,1.1811897387935428,0.3177931208026918,0.29740132466489866,1.023330062290422,0.9950413083480856,1.013051245142633,284.86195165315604
10,20010,35ace65,v2_solver_solref0.5,1,1,1,success,72,37.00269263816243,16.847384950051918,18.594503782996938,59,1,30.0,0.45,20.0,1.0,25,1,200,0.002,100,10.0,0.5,0,50,0,0.6944444444444444,0.3616882582573844,-0.681091855852489,2.6377982724309605,0.023402045706407165,0.03474412539390255,0.031024105831801634,1.7224303206061289,0.7862397836859581,0.36838526233679936,0.2472880155129802,1.1265783680735468,0.8856354983088401,1.0269599102208358,286.30777420294277
11,20011,35ace65,v2_solver_solref0.5,1,1,1,success,60,7.210342821700043,12.59669358237005,6.090363624960568,53,1,30.0,0.45,20.0,1.0,25,1,200,0.002,100,10.0,0.5,0,48,0,0.8,0.30796072400955443,-0.5735862389221651,-2.942709445781796,0.025018379346772472,0.03265517157738809,0.10900618202478414,0.915339202582443,1.3947198671285446,0.344981350251621,0.3511978777374453,0.8545821558786886,1.068843870805714,1.2555504151890806,287.5800119025963
12,20012,35ace65,v2_solver_solref0.5,1,1,1,success,67,19.08195062544691,13.055575096153179,3.7241991074155534,63,1,30.0,0.45,20.0,1.0,25,1,200,0.002,100,10.0,0.5,0,51,0,0.7611940298507462,0.3027787657668338,-0.537469794853997,-0.0994398452672236,0.021468555201148785,0.03330423344797548,0.07134559693518355,1.833483775146874,0.7230168404297517,0.38760771189580984,0.7220612474741727,1.096025635533396,1.0491444152873122,0.9153065268127303,287.9739370555336
13,20013,35ace65,v2_solver_solref0.5,1,1,1,success,54,7.16572348546116,3.789882897396664,9.693143267473893,47,1,30.0,0.45,20.0,1.0,25,1,200,0.002,100,10.0,0.5,0,41,0,0.7592592592592593,0.3724741676704243,-0.28390675448755265,-2.9437136297151567,0.024013338352617007,0.033011728038667976,0.05151661745699327,1.3878070100382844,0.7252994686540178,0.32648787146957015,0.24172218062926829,1.0502836208460624,1.0465087269015014,1.1044841709672275,281.5743690099779
14,20014,35ace65,v2_solver_solref0.5,1,1,1,success,101,10.23793939558137,5.36230756737487,5.47270914566222,97,1,30.0,0.45,20.0,1.0,25,1,200,0.002,100,10.0,0.5,0,79,0,0.7821782178217822,0.3739767445595336,-0.506804665954125,-1.612806258815425,0.02290031849126011,0.040116136551893916,0.08190770223850366,0.8416330589674149,0.9379061479829542,0.3690619602609497,0.4945940594508427,1.0960995847943413,1.0888491617245524,0.9473029213254751,283.47263409326115
15,20015,35ace65,v2_solver_solref0.5,1,1,1,success,63,13.737229885086279,23.65583684514562,16.267618118197568,52,1,30.0,0.45,20.0,1.0,25,1,200,0.002,100,10.0,0.5,0,40,0,0.6349206349206349,0.35457233324807247,-0.26606406393007304,-2.165457995616669,0.021566604821269042,0.03850776485196188,0.11142912002754117,1.4826699952871643,0.9018239289857655,0.32519713513337223,0.5936680640962836,1.0544106975319631,1.0757236961360304,1.0714789212418834,288.0663008789493
16,20016,35ace65,v2_solver_solref0.5,1,1,1,success,62,21.523081195938868,20.90050206050762,15.642174307580635,53,1,30.0,0.45,20.0,1.0,25,1,200,0.002,100,10.0,0.5,0,48,0,0.7741935483870968,0.33962100999744416,-0.7089092419355476,1.8906246449617505,0.02523906249671622,0.039927171459636875,0.04827552294123779,1.49749863766593,0.825392165188036,0.381576525558742,0.23167514971312245,1.0870964777641696,1.0407829478642674,1.1427860502433935,287.06035715336805
17,20017,35ace65,v2_solver_solref0.5,0,1,0,unsafe,30,297.88446790278874,nan,nan,-1,1,30.0,0.45,20.0,1.0,25,1,200,0.002,100,10.0,0.5,0,27,0,0.9,0.34162745587426774,-0.34793237502462454,0.9721865780409393,0.0204048488969985,0.03751605909214376,0.09469843160845634,1.7785698034230877,1.2945995189735893,0.33819200019856166,0.5027446364435085,0.9848852398199667,1.0860327037934498,1.0257780007400685,-40.53926486535061
18,20018,35ace65,v2_solver_solref0.5,1,1,1,success,59,20.90907631876621,14.83778324291307,7.403121917012302,53,1,30.0,0.45,20.0,1.0,25,1,200,0.002,100,10.0,0.5,0,50,0,0.847457627118644,0.33538763029975066,-0.47909751775429693,0.3763281818382538,0.02265292074350739,0.03231848832186626,0.07495613156471995,1.0461426461010033,1.1477878157738841,0.35087573377487347,0.6048838602813331,1.0206275976295964,1.1223927938677705,0.9655389581926255,285.1360831774896
19,20019,35ace65,v2_solver_solref0.5,1,1,1,success,58,16.98803451811501,23.37442174748655,6.25512603088336,54,1,30.0,0.45,20.0,1.0,25,1,200,0.002,100,10.0,0.5,0,43,0,0.7413793103448276,0.30969652115948404,-0.518681064353861,-2.7039095712061436,0.02598374244162877,0.03541541012605098,0.037735021258659344,1.545383651341784,0.8607161120738906,0.3651617040093613,0.646753145945102,0.9622151328403511,1.0275721647012237,0.9113677659107975,272.77547563725005
20,20020,35ace65,v2_solver_solref0.5,1,1,1,success,64,27.12168839110245,14.732253584960128,10.900407235222453,54,1,30.0,0.45,20.0,1.0,25,1,200,0.002,100,10.0,0.5,0,56,0,0.875,0.3334650170096582,-0.419129876785071,-1.1136627522813298,0.027003957323482538,0.03038295022610122,0.08461734712024477,1.3002420691408691,1.1014000799941295,0.36222819427021397,0.7029002154862343,1.077683315041039,1.0014976378164577,1.0508846399854737,284.5057502868556
21,20021,35ace65,v2_solver_solref0.5,1,1,1,success,66,13.539365182125952,18.933689329670575,9.821180982935447,58,1,30.0,0.45,20.0,1.0,25,1,200,0.002,100,10.0,0.5,0,45,0,0.6818181818181818,0.3191980901252559,-0.5537455236939821,-1.894139358876947,0.021493734781512466,0.03026781021334221,0.09960910422534253,1.909797528957525,0.789832051914408,0.36847669327032306,0.46842653912074805,1.0126000123888297,1.013703011740756,1.0299858437380922,289.1538573697998
22,20022,35ace65,v2_solver_solref0.5,1,1,1,success,56,14.810925907552534,11.732831548693477,8.609641833695042,49,1,30.0,0.45,20.0,1.0,25,1,200,0.002,100,10.0,0.5,0,45,0,0.8035714285714286,0.34173888458451224,-0.3001289062683206,-1.8961883460951259,0.020609231876038817,0.03276232802648361,0.05121239110866416,1.1122495720509886,0.641149711673943,0.36678409065628415,0.5444236853246154,1.0240879310737958,1.0192749413933422,1.0317024858023562,286.4516967503471
23,20023,35ace65,v2_solver_solref0.5,1,1,1,success,54,11.874650152784653,24.67446935206119,3.772308172821709,47,1,30.0,0.45,20.0,1.0,25,1,200,0.002,100,10.0,0.5,0,44,0,0.8148148148148148,0.37117159567493774,-0.281314510069002,0.36401204963063627,0.027304545966242193,0.03165981339384544,0.03725382703191663,1.964499779751014,1.2907623586333825,0.3169185867732559,0.511647608790335,1.054966272019345,1.0235683325673413,1.2221506885633453,285.4198933443362
24,20024,35ace65,v2_solver_solref0.5,1,1,1,success,55,5.123253040983308,4.687241062196641,0.9354579184623034,50,1,30.0,0.45,20.0,1.0,25,1,200,0.002,100,10.0,0.5,0,42,0,0.7636363636363637,0.301735186476134,-0.23154168296027638,-1.5592964217322551,0.02425216152720162,0.03183499198105888,0.08276992693870533,1.821122350584654,1.2264255442628569,0.33974620128960187,0.6971673644283741,1.0446301524614878,1.0681711253976054,1.035197083164583,283.2844105188471
25,20025,35ace65,v2_solver_solref0.5,1,1,1,success,64,31.272808467586724,17.65712317148964,4.678257868976371,57,1,30.0,0.45,20.0,1.0,25,1,200,0.002,100,10.0,0.5,0,44,0,0.6875,0.34204180028946196,-0.6618531755295733,-0.346124235154305,0.023617897392554085,0.030605097796053117,0.033258464235159345,0.9641818955654102,1.1273409958744334,0.32582243485986634,0.5343821194627115,0.9799327699157667,1.0536354215889607,0.797237221419697,290.5978774232317
26,20026,35ace65,v2_solver_solref0.5,0,0,0,unsafe,22,376.3052031478955,nan,nan,-1,1,30.0,0.45,20.0,1.0,25,1,200,0.002,100,10.0,0.5,0,19,0,0.8636363636363636,0.3296079359954176,-0.39983387537107407,-2.753233765066632,0.027046034219522532,0.035816471761784645,0.06376476657594107,1.3582466227146754,0.6120432518508957,0.3779569108393297,0.6659921896490285,1.0303808532805963,0.9929778703868707,1.211087896090353,-40.53223835768558
27,20027,35ace65,v2_solver_solref0.5,1,1,1,success,55,15.525785244412866,17.607584663851434,17.01875142081444,48,1,30.0,0.45,20.0,1.0,25,1,200,0.002,100,10.0,0.5,0,47,0,0.8545454545454545,0.3413486785786675,-0.44221632383983783,-1.6767876830777442,0.02127866168886567,0.03367951167819175,0.049337698034994354,1.1331267853835838,0.8462510298768531,0.31055853374488723,0.3904798592780758,1.028576489693511,1.0349354142123155,0.9983001651072732,283.8733884366449
28,20028,35ace65,v2_solver_solref0.5,0,0,0,unsafe,73,165.52579707025987,nan,nan,-1,1,30.0,0.45,20.0,1.0,25,1,200,0.002,100,10.0,0.5,0,71,0,0.9726027397260274,0.3162405961778947,-0.36001952038889073,1.3400735905564014,0.02144865462013035,0.03486444832003453,0.07945814554591271,1.9820746560856761,1.2385844329202738,0.3305041246244575,0.19382137643629294,0.9835291345060904,0.9837097338709253,0.8627224318067792,-48.92993384395516
29,20029,35ace65,v2_solver_solref0.5,1,1,1,success,92,16.084898776374942,18.954887198089416,9.381591632737859,59,1,30.0,0.45,20.0,1.0,25,1,200,0.002,100,10.0,0.5,0,77,0,0.8369565217391305,0.31293833197577875,-0.6710880166121812,0.9195391928863348,0.02330498641298929,0.031516919687684074,0.04668461002905121,1.5334359978193592,1.1869434626965476,0.3719401751123277,0.39269363718567885,1.0253446369097532,1.0628862907589263,0.9732055755928797,286.6210328778598
30,20030,35ace65,v2_solver_solref0.5,1,1,1,success,79,17.62896945573195,8.574684165039287,9.058349978085944,37,1,30.0,0.45,20.0,1.0,25,1,200,0.002,100,10.0,0.5,0,65,0,0.8227848101265823,0.33245364827301105,-0.41816146679441435,1.6907822101623928,0.022812340209973175,0.03953719494370477,0.11780238016692954,0.9241569578618631,1.1749548548349906,0.3627007871070931,0.19379862199745845,1.0324855148106444,0.9542083746730877,0.9473792436663839,272.2522205917779
31,20031,35ace65,v2_solver_solref0.5,1,1,1,success,63,29.162640433690438,16.133405448164275,24.191967532300634,54,1,30.0,0.45,20.0,1.0,25,1,200,0.002,100,10.0,0.5,0,50,0,0.7936507936507936,0.3697571934384323,-0.3474297820681377,1.7967869505964629,0.024943271051875212,0.03459363024226044,0.06483808903420307,1.584168711028378,1.1410367626931754,0.34424685550910095,0.668408901111654,1.062355921033572,1.0767139820302716,1.0891015545423732,288.5369850074138
32,20032,35ace65,v2_solver_solref0.5,1,1,1,success,63,14.291385054743374,21.500696885196565,5.551497734315728,55,1,30.0,0.45,20.0,1.0,25,1,200,0.002,100,10.0,0.5,0,53,0,0.8412698412698413,0.32998716260656547,-0.5991238006357996,-0.05188386498695552,0.020847919520456976,0.03533969884243581,0.11701987053392643,1.8004596956289312,1.387382326195156,0.33128669470256206,0.724531533145819,1.0068378001774498,1.0833114265413533,1.013430393007948,290.64519901545845
33,20033,35ace65,v2_solver_solref0.5,0,1,0,timeout,200,76.33361343812633,81.47931999676234,9.083292770169964,50,1,30.0,0.45,20.0,1.0,25,1,200,0.002,100,10.0,0.5,0,187,0,0.935,0.35625431941959473,-0.5764093414146412,-1.4065947545956743,0.025830324968642314,0.030655655952754823,0.07439245033598277,0.9232249508069169,0.9420297587818982,0.38746790357539307,0.19016346046335414,1.0735704892771794,1.008704321617642,1.104537322238103,43.18570794633189
34,20034,35ace65,v2_solver_solref0.5,1,1,1,success,55,16.394947973248286,9.64919125394448,3.321727121059072,49,1,30.0,0.45,20.0,1.0,25,1,200,0.002,100,10.0,0.5,0,52,0,0.9454545454545454,0.30003017361498524,-0.4700059350473292,-0.12787029091465651,0.025088671609678807,0.03402158825373002,0.10241963548631594,1.10790712584778,1.0697726267705239,0.31759955615063135,0.43219363340690564,1.0180140092206602,0.9200519626237763,1.1380137039340912,281.5248185748294
35,20035,35ace65,v2_solver_solref0.5,1,1,1,success,60,8.708641726321826,20.948109608580992,8.278444961575731,50,1,30.0,0.45,20.0,1.0,25,1,200,0.002,100,10.0,0.5,0,37,0,0.6166666666666667,0.357426650931662,-0.578451265552722,-2.829907418474223,0.024095196355059852,0.03738130175701559,0.04583460215267843,1.386714667522875,0.8380203760910881,0.310875214495532,0.40497791060155863,1.0446487995436062,1.0073689101491081,1.0496716902654009,288.5824999601027
36,20036,35ace65,v2_solver_solref0.5,1,1,1,success,58,10.801177189280793,2.89471697484452,10.380049343016754,34,1,30.0,0.45,20.0,1.0,25,1,200,0.002,100,10.0,0.5,0,46,0,0.7931034482758621,0.3657252335238418,-0.18981937724780906,-0.08177099118878184,0.025949284527214084,0.035636092503798816,0.11309735311019271,1.3397949953701676,0.604773134946328,0.3326466069558981,0.17543455647884623,1.072335884326793,1.048892902632062,1.2857294933498364,282.814043077293
