episode,seed,git_hash,cell,success_at_default_tol,grasp,lift,termination,steps,place_err_mm,tcp_err_at_release_mm,scatter_mm,release_step,obj_settled,max_step_dist_mm,action_smoothing,control_hz,max_joint_vel,n_substeps,obs_latency_steps,max_episode_steps,solver_timestep,solver_iterations,solver_impratio,solver_solref_scale,collision_steps,safety_clamped,safety_vetoed,clamp_rate,obj_r,obj_th,obj_yaw,obj_half_w,obj_half_h,obj_mass,mu_obj,mu_table,tgt_r,tgt_th,kp_scale_mean,kv_scale_mean,frictionloss_scale_mean,reward
0,20000,35ace65,v2_solver_solref2,1,1,1,success,53,17.27915945117249,22.22253839966939,12.958404016398195,47,1,30.0,0.45,20.0,1.0,25,1,200,0.002,100,10.0,2.0,0,44,0,0.8301886792452831,0.34741104842827836,-0.22488081336703158,-2.9929271661528913,0.021531837245299945,0.030294397008563945,0.031170807889755143,1.4790102422867273,0.6505728288848772,0.36177748880722493,0.553221044270187,1.0058264735349158,0.9790347712109021,1.0068289612867283,282.67222618254243
1,20001,35ace65,v2_solver_solref2,1,1,1,success,50,2.7566970817589964,13.349958882959111,7.645891980123102,44,1,30.0,0.45,20.0,1.0,25,1,200,0.002,100,10.0,2.0,0,39,0,0.78,0.3062269708028256,-0.2849828383105404,2.8920743874093615,0.022822678545831112,0.035721230882053055,0.11400167739247835,1.6032712890213876,1.2572543610793447,0.337332175301131,0.4884081377622979,0.9544063031971912,1.062735744498996,1.0891749215866655,280.05784016894927
2,20002,35ace65,v2_solver_solref2,1,1,1,success,64,19.341992315772888,22.886383531121833,14.300144986685744,56,1,30.0,0.45,20.0,1.0,25,1,200,0.002,100,10.0,2.0,0,50,0,0.78125,0.37057453779134675,-0.717792457216367,1.7865612530983936,0.02385596414455668,0.037045459966174726,0.09782532932239431,1.9430369836375774,0.7238261602467481,0.3079013259330847,0.23441956706618614,0.9852990289367732,0.9917019533245562,1.0859406203171424,290.82624426840164
3,20003,35ace65,v2_solver_solref2,1,1,1,success,55,18.628396378762133,25.765855988808905,8.074685643285921,48,1,30.0,0.45,20.0,1.0,25,1,200,0.002,100,10.0,2.0,0,45,0,0.8181818181818182,0.3312793740982412,-0.49865804500837974,2.290420228048643,0.023147305410518394,0.03609241389326142,0.08943566029444554,1.286961032223358,1.1841329524931838,0.35381132867852483,0.25984727723198925,1.0664166669318604,0.9451551336221603,1.0955363878384492,285.5260702863238
4,20004,35ace65,v2_solver_solref2,1,1,1,success,61,18.11785184499916,11.443036620519802,9.052388323659548,57,1,30.0,0.45,20.0,1.0,25,1,200,0.002,100,10.0,2.0,0,42,0,0.6885245901639344,0.3587775185467205,-0.3710411707197539,-3.036194887059885,0.026126714768515018,0.029807332267738816,0.09443037700668214,1.5428162891128028,1.0913316606286534,0.356187830951595,0.6029860859071946,1.0223682466811943,1.0149774282601849,0.9167070033909217,283.5268768149096
5,20005,35ace65,v2_solver_solref2,1,1,1,success,64,16.28539865271191,11.13652126230633,8.019272712462985,60,1,30.0,0.45,20.0,1.0,25,1,200,0.002,100,10.0,2.0,0,45,0,0.703125,0.33455991156192477,-0.5668271439135467,2.6091757878817043,0.025294713748749507,0.031089997437608347,0.07181639868093634,1.995463083936362,0.9699935812781522,0.36221794635239496,0.561913769760857,0.9470165784887327,0.9294974156072909,1.08710498577009,289.11120449330826
6,20006,35ace65,v2_solver_solref2,1,1,1,success,70,7.996090310737884,5.7455504845280325,0.4240742949900768,66,1,30.0,0.45,20.0,1.0,25,1,200,0.002,100,10.0,2.0,0,49,0,0.7,0.3175161176555032,-0.6903909623638597,-2.2630603092208967,0.022953397961132372,0.03117940827015617,0.04928170781271206,1.7196025253132647,0.6436483383559161,0.3806241673747191,0.24108269586674502,1.025890625926406,1.118790110251128,1.0480395486391612,286.7287697658277
7,20007,35ace65,v2_solver_solref2,1,1,1,success,62,14.64809639820935,15.432102860412025,9.96713548354474,54,1,30.0,0.45,20.0,1.0,25,1,200,0.002,100,10.0,2.0,0,41,0,0.6612903225806451,0.3735795635689171,-0.6114608083175758,3.0517696782990216,0.025303080583736808,0.03835861541493824,0.04060365293728486,1.3475430593957396,1.319349972191734,0.3745486645762045,0.3464039398949948,0.9700875517096347,0.989293135885638,1.0888997619524863,290.2764976486191
8,20008,35ace65,v2_solver_solref2,1,1,1,success,54,13.023732604102399,15.452469351613637,6.796550554697693,45,1,30.0,0.45,20.0,1.0,25,1,200,0.002,100,10.0,2.0,0,45,0,0.8333333333333334,0.3831813414521932,-0.3565248785997729,1.8798234646220564,0.024451414492418645,0.038503375765708836,0.057525689653307024,1.2298579368012788,1.3901898509710024,0.3367886603067758,0.43946340554021873,1.0871621078117117,1.0233386793326573,0.9119927592223422,284.10157216111656
9,20009,35ace65,v2_solver_solref2,1,1,1,success,51,7.875978721691573,15.43351183183685,10.600354105710478,45,1,30.0,0.45,20.0,1.0,25,1,200,0.002,100,10.0,2.0,0,37,0,0.7254901960784313,0.33148061109625215,-0.5135002413416396,-0.05430388239628181,0.0212055825380661,0.030647378773755462,0.056360572246190344,1.9109044961726596,1.1811897387935428,0.3177931208026918,0.29740132466489866,1.023330062290422,0.9950413083480856,1.013051245142633,285.0571201951952
10,20010,35ace65,v2_solver_solref2,1,1,1,success,64,18.61087887191422,18.944070024451104,4.996834554402236,60,1,30.0,0.45,20.0,1.0,25,1,200,0.002,100,10.0,2.0,0,47,0,0.734375,0.3616882582573844,-0.681091855852489,2.6377982724309605,0.023402045706407165,0.03474412539390255,0.031024105831801634,1.7224303206061289,0.7862397836859581,0.36838526233679936,0.2472880155129802,1.1265783680735468,0.8856354983088401,1.0269599102208358,291.07826096899487
11,20011,35ace65,v2_solver_solref2,1,1,1,success,61,7.716269280999046,20.56466579254888,14.000220913653127,55,1,30.0,0.45,20.0,1.0,25,1,200,0.002,100,10.0,2.0,0,47,0,0.7704918032786885,0.30796072400955443,-0.5735862389221651,-2.942709445781796,0.025018379346772472,0.03265517157738809,0.10900618202478414,0.915339202582443,1.3947198671285446,0.344981350251621,0.3511978777374453,0.8545821558786886,1.068843870805714,1.2555504151890806,288.36851324417006
