episode,seed,dr_seed,noise_seed,git_hash,cell,success_at_default_tol,grasp,lift,termination,steps,place_err_mm,tcp_err_at_release_mm,scatter_mm,release_step,obj_settled,max_step_dist_mm,action_smoothing,control_hz,max_joint_vel,n_substeps,obs_latency_steps,max_episode_steps,solver_timestep,solver_iterations,solver_impratio,solver_solref_scale,collision_steps,safety_clamped,safety_vetoed,clamp_rate,obj_r,obj_th,obj_yaw,obj_half_w,obj_half_h,obj_mass,mu_obj,mu_table,tgt_r,tgt_th,kp_scale_mean,kv_scale_mean,frictionloss_scale_mean,reward
0,30000,30000,30000,6a22834,ckpt_sac_full_00549912,0,1,0,unsafe,69,209.30364192398304,nan,nan,-1,1,30.0,0.45,20.0,1.0,25,1,200,0.002,100,10.0,1.0,0,41,0,0.5942028985507246,0.32705701425206696,-0.3852723407066261,-2.412306615453284,0.023248356419346666,0.03634407118723642,0.05713619631853544,1.811771820929556,1.2156651192880168,0.33532728300522646,0.2665723354347781,0.9283198274517569,0.984558076517463,1.020694126855675,-24.154705041062492
1,30001,30001,30001,6a22834,ckpt_sac_full_00549912,0,1,0,unsafe,37,311.2614058647259,nan,nan,-1,1,30.0,0.45,20.0,1.0,25,1,200,0.002,100,10.0,1.0,0,17,0,0.4594594594594595,0.3325176152262667,-0.24942285141218828,0.03228751597253465,0.0223440392261996,0.031212007881306614,0.03731188608934077,1.0931527093990399,1.1449436442425767,0.3570851997465893,0.662976419228492,0.9890619386082568,1.0483182264128017,0.9491347356540185,-19.1833929996946
2,30002,30002,30002,6a22834,ckpt_sac_full_00549912,0,1,0,unsafe,43,268.573882996394,nan,nan,-1,1,30.0,0.45,20.0,1.0,25,1,200,0.002,100,10.0,1.0,0,23,0,0.5348837209302325,0.33214596386201695,-0.17798664132981545,-0.44616652917977406,0.027164928906732805,0.03184350572599488,0.06842173055377482,1.1353489337822151,0.7340100103704447,0.35465966532336257,0.6137724507545921,1.0400232922476478,1.0032652373978965,1.0716146407160902,-20.42166469784229
3,30003,30003,30003,6a22834,ckpt_sac_full_00549912,0,0,0,timeout,200,337.63529994916985,nan,nan,-1,1,30.0,0.45,20.0,1.0,25,1,200,0.002,100,10.0,1.0,0,187,0,0.935,0.3808204516853743,-0.3197116332399113,-2.8560330374370837,0.024067925443816814,0.03581465566623147,0.06978743615295413,1.6492513725047862,1.329287551551232,0.3248639045877714,0.6659663015954231,0.9728221085218524,0.9993673650555632,1.2151087006490093,-3.328756295233193
4,30004,30004,30004,6a22834,ckpt_sac_full_00549912,0,1,0,unsafe,24,288.3706647150606,nan,nan,-1,1,30.0,0.45,20.0,1.0,25,1,200,0.002,100,10.0,1.0,0,10,0,0.4166666666666667,0.3171634861047361,-0.27964519878757743,-1.3622593623103016,0.026722859832980613,0.03458144386755109,0.05661632122044408,1.6596300257772505,0.9977400794349844,0.3791026415997995,0.5557279085939071,1.0872445116995448,1.0236822373336059,0.8632024642621747,-16.257833756034167
5,30005,30005,30005,6a22834,ckpt_sac_full_00549912,0,1,0,unsafe,50,252.40665371217324,nan,nan,-1,0,30.0,0.45,20.0,1.0,25,1,200,0.002,100,10.0,1.0,0,23,0,0.46,0.3271498417260805,-0.18116229059618305,-0.5854497917938746,0.024938532560202033,0.038007082977966976,0.09048692911849676,1.2376916340017632,0.938811659982581,0.3417737992743752,0.5874492578554672,0.9793919842837386,1.0221707487712712,1.0679126545286006,-43.838042404056296
6,30006,30006,30006,6a22834,ckpt_sac_full_00549912,0,1,0,timeout,200,271.2891610102772,nan,nan,-1,0,30.0,0.45,20.0,1.0,25,1,200,0.002,100,10.0,1.0,0,117,0,0.585,0.3023878089383753,-0.4256280868906135,-0.7057494183861901,0.022258073657354115,0.03221164922364961,0.035580388464831816,1.4142503226320167,1.0764801193113014,0.304704413181816,0.576524317424441,1.067485378177647,1.0035494076307037,1.2869909711469054,8.029449778885983
7,30007,30007,30007,6a22834,ckpt_sac_full_00549912,0,1,0,timeout,200,452.161745711168,nan,nan,-1,1,30.0,0.45,20.0,1.0,25,1,200,0.002,100,10.0,1.0,0,191,0,0.955,0.35752758346805297,-0.7040377695299846,-0.43763253305335503,0.024960018505746712,0.0334888329116718,0.09901127120768934,1.3346544716296906,0.7060375639520589,0.30329945040456446,0.693131145610091,0.9560727553657679,0.9293201829393666,1.0404794768795607,24.782835822652522
8,30008,30008,30008,6a22834,ckpt_sac_full_00549912,0,1,0,timeout,200,224.3823871065299,nan,nan,-1,1,30.0,0.45,20.0,1.0,25,1,200,0.002,100,10.0,1.0,0,180,0,0.9,0.3800860762147235,-0.3995344694953464,-0.15730713132752738,0.02178009150176172,0.03563518375810096,0.10433376476288106,1.3980335526707786,1.306087036330506,0.33171820696300425,0.23429225782791857,1.0751617073250028,1.0069630585087361,0.9605855114276735,15.641933651721157
9,30009,30009,30009,6a22834,ckpt_sac_full_00549912,1,1,1,success,79,21.52928706856705,17.871183847290187,8.848322980863802,73,1,30.0,0.45,20.0,1.0,25,1,200,0.002,100,10.0,1.0,0,59,0,0.7468354430379747,0.3190639441226543,-0.505386229090332,-3.1362692281499998,0.024102039005192765,0.03679471537753926,0.05531370945553771,1.9014358457552272,1.3336196592629497,0.3053927859540511,0.5466226088278759,1.065120195511467,1.0524523659436802,1.1071953703043382,280.17594696066516
