episode,seed,git_hash,cell,success_at_default_tol,grasp,lift,termination,steps,place_err_mm,tcp_err_at_release_mm,scatter_mm,release_step,obj_settled,max_step_dist_mm,action_smoothing,control_hz,max_joint_vel,n_substeps,obs_latency_steps,max_episode_steps,solver_timestep,solver_iterations,solver_impratio,solver_solref_scale,collision_steps,safety_clamped,safety_vetoed,clamp_rate,obj_r,obj_th,obj_yaw,obj_half_w,obj_half_h,obj_mass,mu_obj,mu_table,tgt_r,tgt_th,kp_scale_mean,kv_scale_mean,frictionloss_scale_mean,reward
0,20000,35ace65,v2_solver_imp1,1,1,1,success,54,22.04795763755921,18.379981169690375,0.64912207309027,51,1,30.0,0.45,20.0,1.0,25,1,200,0.002,100,1.0,1.0,0,43,0,0.7962962962962963,0.34741104842827836,-0.22488081336703158,-2.9929271661528913,0.021531837245299945,0.030294397008563945,0.031170807889755143,1.4790102422867273,0.6505728288848772,0.36177748880722493,0.553221044270187,1.0058264735349158,0.9790347712109021,1.0068289612867283,282.3029161983228
1,20001,35ace65,v2_solver_imp1,1,1,1,success,49,10.17798965197853,18.002053712564223,4.099836402430595,43,1,30.0,0.45,20.0,1.0,25,1,200,0.002,100,1.0,1.0,0,40,0,0.8163265306122449,0.3062269708028256,-0.2849828383105404,2.8920743874093615,0.022822678545831112,0.035721230882053055,0.11400167739247835,1.6032712890213876,1.2572543610793447,0.337332175301131,0.4884081377622979,0.9544063031971912,1.062735744498996,1.0891749215866655,279.7529970129615
2,20002,35ace65,v2_solver_imp1,1,1,1,success,71,7.059430180123921,4.483807001825887,2.8290783878477566,67,1,30.0,0.45,20.0,1.0,25,1,200,0.002,100,1.0,1.0,0,56,0,0.7887323943661971,0.37057453779134675,-0.717792457216367,1.7865612530983936,0.02385596414455668,0.037045459966174726,0.09782532932239431,1.9430369836375774,0.7238261602467481,0.3079013259330847,0.23441956706618614,0.9852990289367732,0.9917019533245562,1.0859406203171424,292.92588728819624
3,20003,35ace65,v2_solver_imp1,1,1,1,success,57,10.395873062888004,24.34305187129587,15.515734092073357,48,1,30.0,0.45,20.0,1.0,25,1,200,0.002,100,1.0,1.0,0,45,0,0.7894736842105263,0.3312793740982412,-0.49865804500837974,2.290420228048643,0.023147305410518394,0.03609241389326142,0.08943566029444554,1.286961032223358,1.1841329524931838,0.35381132867852483,0.25984727723198925,1.0664166669318604,0.9451551336221603,1.0955363878384492,285.12205957278076
4,20004,35ace65,v2_solver_imp1,0,1,1,timeout,200,32.673869625805814,31.985954220284142,20.763597337809973,54,1,30.0,0.45,20.0,1.0,25,1,200,0.002,100,1.0,1.0,0,181,0,0.905,0.3587775185467205,-0.3710411707197539,-3.036194887059885,0.026126714768515018,0.029807332267738816,0.09443037700668214,1.5428162891128028,1.0913316606286534,0.356187830951595,0.6029860859071946,1.0223682466811943,1.0149774282601849,0.9167070033909217,74.780171218771
5,20005,35ace65,v2_solver_imp1,1,1,1,success,63,21.48048541163177,16.38689646558127,1.6697705201521045,59,1,30.0,0.45,20.0,1.0,25,1,200,0.002,100,1.0,1.0,0,44,0,0.6984126984126984,0.33455991156192477,-0.5668271439135467,2.6091757878817043,0.025294713748749507,0.031089997437608347,0.07181639868093634,1.995463083936362,0.9699935812781522,0.36221794635239496,0.561913769760857,0.9470165784887327,0.9294974156072909,1.08710498577009,290.270604250224
6,20006,35ace65,v2_solver_imp1,1,1,1,success,57,26.50484765613852,24.10214342530203,2.3278634005663807,54,1,30.0,0.45,20.0,1.0,25,1,200,0.002,100,1.0,1.0,0,41,0,0.7192982456140351,0.3175161176555032,-0.6903909623638597,-2.2630603092208967,0.022953397961132372,0.03117940827015617,0.04928170781271206,1.7196025253132647,0.6436483383559161,0.3806241673747191,0.24108269586674502,1.025890625926406,1.118790110251128,1.0480395486391612,289.2610254495411
7,20007,35ace65,v2_solver_imp1,1,1,1,success,59,19.024166778845622,13.834581800142137,9.401279390323458,53,1,30.0,0.45,20.0,1.0,25,1,200,0.002,100,1.0,1.0,0,37,0,0.6271186440677966,0.3735795635689171,-0.6114608083175758,3.0517696782990216,0.025303080583736808,0.03835861541493824,0.04060365293728486,1.3475430593957396,1.319349972191734,0.3745486645762045,0.3464039398949948,0.9700875517096347,0.989293135885638,1.0888997619524863,288.2911785885004
8,20008,35ace65,v2_solver_imp1,1,1,1,success,56,12.475821212928073,16.34116700991747,6.238137924387755,45,1,30.0,0.45,20.0,1.0,25,1,200,0.002,100,1.0,1.0,0,44,0,0.7857142857142857,0.3831813414521932,-0.3565248785997729,1.8798234646220564,0.024451414492418645,0.038503375765708836,0.057525689653307024,1.2298579368012788,1.3901898509710024,0.3367886603067758,0.43946340554021873,1.0871621078117117,1.0233386793326573,0.9119927592223422,283.65208049115193
9,20009,35ace65,v2_solver_imp1,1,1,1,success,55,2.261558935172235,10.501389163376274,8.35881250412395,46,1,30.0,0.45,20.0,1.0,25,1,200,0.002,100,1.0,1.0,0,45,0,0.8181818181818182,0.33148061109625215,-0.5135002413416396,-0.05430388239628181,0.0212055825380661,0.030647378773755462,0.056360572246190344,1.9109044961726596,1.1811897387935428,0.3177931208026918,0.29740132466489866,1.023330062290422,0.9950413083480856,1.013051245142633,284.7089874933944
