episode,seed,dr_seed,noise_seed,git_hash,cell,success_at_default_tol,grasp,lift,termination,steps,place_err_mm,tcp_err_at_release_mm,scatter_mm,release_step,obj_settled,max_step_dist_mm,action_smoothing,control_hz,max_joint_vel,n_substeps,obs_latency_steps,max_episode_steps,solver_timestep,solver_iterations,solver_impratio,solver_solref_scale,collision_steps,safety_clamped,safety_vetoed,clamp_rate,obj_r,obj_th,obj_yaw,obj_half_w,obj_half_h,obj_mass,mu_obj,mu_table,tgt_r,tgt_th,kp_scale_mean,kv_scale_mean,frictionloss_scale_mean,reward
12,30012,30012,30012,6a22834,ckpt_sac_full_00349944,0,0,0,timeout,200,117.04120074238952,nan,nan,-1,1,30.0,0.45,20.0,1.0,25,1,200,0.002,100,10.0,1.0,0,185,0,0.925,0.35793653529620784,-0.2299907604238327,-1.8902900004247234,0.02298378545038329,0.036296972913467555,0.043598733716582426,0.9397939809069189,0.9091038567766242,0.34557053691799433,0.2766582014446109,1.039653535204743,1.0483208519171152,1.03965465502178,-16.242358866248086
13,30013,30013,30013,6a22834,ckpt_sac_full_00349944,0,0,0,timeout,200,220.62132065766934,nan,nan,-1,1,30.0,0.45,20.0,1.0,25,1,200,0.002,100,10.0,1.0,0,147,0,0.735,0.304900879985751,-0.37683371833030427,-2.4081375644067338,0.020928896693662737,0.03166586154385383,0.051059478404410816,1.0011147457359773,0.6851321580056657,0.3109598210393862,0.3928746700747351,1.0829082221496715,1.0025962338576575,0.881442088685968,-15.151612157019121
14,30014,30014,30014,6a22834,ckpt_sac_full_00349944,1,1,1,success,98,5.269450668892518,7.301254146336783,7.5473081404797275,74,1,30.0,0.45,20.0,1.0,25,1,200,0.002,100,10.0,1.0,0,72,0,0.7346938775510204,0.3834728583352324,-0.3363433872365509,-2.034519335574054,0.02326872444769587,0.03218785747646115,0.08183477193591995,1.7158836977091296,0.6107023951578425,0.3304672029879568,0.47460310138999434,1.0090299835520018,1.0749019914640308,1.1688116746947075,283.77030376595184
15,30015,30015,30015,6a22834,ckpt_sac_full_00349944,0,1,0,unsafe,23,350.93970152941876,nan,nan,-1,1,30.0,0.45,20.0,1.0,25,1,200,0.002,100,10.0,1.0,0,11,0,0.4782608695652174,0.3507987531122389,-0.4134885929917352,1.8903843587232085,0.024466330567026833,0.032860894164399225,0.03497890269429775,1.418006259871246,1.0965785885336694,0.35121105396300123,0.6321898634469603,1.0565058568210173,1.0133017887230193,1.0023779091903076,-40.53418360643997
16,30016,30016,30016,6a22834,ckpt_sac_full_00349944,0,1,0,unsafe,23,291.7391080604101,nan,nan,-1,1,30.0,0.45,20.0,1.0,25,1,200,0.002,100,10.0,1.0,0,12,0,0.5217391304347826,0.36895236955523536,-0.33083932305839486,-0.66371758977697,0.023245631761559974,0.03153555311926235,0.09084911787951089,1.5881218941231512,0.9273771598678813,0.36832440733882127,0.4802786204020019,1.0933544471616403,0.974560357069197,1.025766010956104,-16.005008662522563
17,30017,30017,30017,6a22834,ckpt_sac_full_00349944,0,0,0,timeout,200,395.9341230375877,nan,nan,-1,0,30.0,0.45,20.0,1.0,25,1,200,0.002,100,10.0,1.0,0,171,0,0.855,0.34161843761715455,-0.42804227696838015,0.47496315761776176,0.02371614927016052,0.03841741235264233,0.09259522790177246,1.9862884056957262,0.9566192958795213,0.38222490454041075,0.7236776501944333,0.9612367019466389,1.1211041502121508,1.076359860637775,0.5157064865759913
18,30018,30018,30018,6a22834,ckpt_sac_full_00349944,1,1,0,success,114,29.273663273351772,15.277657344316477,26.822946929885358,99,1,30.0,0.45,20.0,1.0,25,1,200,0.002,100,10.0,1.0,0,75,0,0.6578947368421053,0.37834656525266563,-0.581315497296422,-1.0919334572817365,0.02214911993196861,0.03239666997583319,0.05765361780569946,1.8397163656326148,0.7324791491889044,0.3712108656250272,0.42104839237133596,1.031108664114701,1.015363765920426,1.0190851040149593,257.29755007244864
19,30019,30019,30019,6a22834,ckpt_sac_full_00349944,1,1,1,success,72,32.95802203062824,63.30494191353093,6.78191464781921,64,1,30.0,0.45,20.0,1.0,25,1,200,0.002,100,10.0,1.0,0,59,0,0.8194444444444444,0.33848509271833094,-0.19769076729104018,2.8467040126147864,0.020985975843084554,0.03260527336295301,0.0395143606072498,1.5752774014426691,0.6021623113290425,0.3098388514181124,0.6323019429338234,1.057424014597174,1.0194344496215355,1.1805114417608105,278.4750919515638
20,30020,30020,30020,6a22834,ckpt_sac_full_00349944,0,1,0,timeout,200,245.64052977138658,nan,nan,-1,1,30.0,0.45,20.0,1.0,25,1,200,0.002,100,10.0,1.0,0,187,0,0.935,0.32961517187180794,-0.4040275934931569,-1.426065774132482,0.020672199488538098,0.030547356907474427,0.0635292104074974,1.708123532003611,1.2924327310784407,0.33679738308026064,0.3775742554981819,1.0723086824255108,0.9878948739613708,1.0712054515590428,24.24782924439165
21,30021,30021,30021,6a22834,ckpt_sac_full_00349944,0,1,0,timeout,200,122.68470735975386,nan,nan,-1,1,30.0,0.45,20.0,1.0,25,1,200,0.002,100,10.0,1.0,0,179,0,0.895,0.32661643474595836,-0.23870512432265,-2.407290092628362,0.026778865494277576,0.036022315161634524,0.11610436140173523,0.9319605581879995,1.2143358915382518,0.3679716513190651,0.4324123414138295,1.054557094963403,1.021959061873035,0.9113362085309429,21.97500209624688
22,30022,30022,30022,6a22834,ckpt_sac_full_00349944,0,1,0,timeout,200,156.58503265871215,nan,nan,-1,1,30.0,0.45,20.0,1.0,25,1,200,0.002,100,10.0,1.0,0,168,0,0.84,0.34418657697597377,-0.2843796574399825,-2.1992354050049205,0.026922641879074703,0.034236357741943176,0.11790409660915885,1.3546491262311218,0.9705356315896958,0.3544688149148339,0.2830473920121235,1.0608989978936358,0.9780280049734879,1.1117834962834903,0.0006786723232948266
23,30023,30023,30023,6a22834,ckpt_sac_full_00349944,0,0,0,timeout,200,412.823441154565,nan,nan,-1,0,30.0,0.45,20.0,1.0,25,1,200,0.002,100,10.0,1.0,0,183,0,0.915,0.37962371939066814,-0.5077776151201323,1.5024427798535651,0.022241508130571505,0.03700588901143153,0.10639550181403104,1.6294541754380338,0.7096075964572044,0.32800126846766936,0.6963266005486962,1.024518209767943,0.9902097389863574,1.0741484191653377,2.7898156396196154
24,30024,30024,30024,6a22834,ckpt_sac_full_00349944,0,0,0,timeout,200,285.99547063351037,nan,nan,-1,1,30.0,0.45,20.0,1.0,25,1,200,0.002,100,10.0,1.0,141,180,0,0.9,0.31701718677293816,-0.3455169205939075,2.267843515664219,0.022342058440947925,0.03894515754049887,0.07572768565145405,1.0165964174884583,1.2307591418191164,0.38040886591956646,0.46486632339819317,0.9491620165549873,0.9950662222736321,1.2282452385502736,-109.06159050120242
25,30025,30025,30025,6a22834,ckpt_sac_full_00349944,0,0,0,object_lost,180,440.7657350143793,nan,nan,-1,0,30.0,0.45,20.0,1.0,25,1,200,0.002,100,10.0,1.0,0,155,0,0.8611111111111112,0.32134567249877805,-0.22433051177384422,3.1313609528431288,0.024054730252551882,0.038845120357388165,0.07867927526899669,1.5768227679869282,1.0333467168262385,0.372744337587982,0.2960085276967705,1.0431718506966143,1.0721826078004277,1.0089901576144347,-227.8389968968731
26,30026,30026,30026,6a22834,ckpt_sac_full_00349944,0,1,0,unsafe,41,368.4613562645604,nan,nan,-1,1,30.0,0.45,20.0,1.0,25,1,200,0.002,100,10.0,1.0,0,23,0,0.5609756097560976,0.3099519822229771,-0.48772223107765333,-2.514210725910443,0.025963351379420043,0.037136820394997445,0.0626983997393282,0.810560438599687,1.0850490786886438,0.3538482840981379,0.6712161615313245,0.9495991902646415,1.0581046160879057,1.2443059369627814,-16.0026992926039
27,30027,30027,30027,6a22834,ckpt_sac_full_00349944,0,0,0,timeout,200,374.9758847407398,nan,nan,-1,1,30.0,0.45,20.0,1.0,25,1,200,0.002,100,10.0,1.0,0,178,0,0.89,0.3179057698274225,-0.4687372248443553,-1.2580008096186106,0.02254415736470314,0.0399360534827981,0.11035257524108445,1.704973992159971,0.73908654198353,0.36292208611590204,0.5413496402006757,1.087156039106281,1.0284451964104013,1.0552805886165486,0.6418783225433886
