#{"t_start": 1785575338.421421, "env_id": "None"}
r,l,t,is_success
282.10642,59,15.409325,True
287.173017,68,28.820933,True
281.80352,56,39.570616,True
239.796432,30,45.329119,True
-42.04222,43,53.80278,False
288.765652,63,66.279348,True
-9.810906,120,90.200602,False
272.195512,33,96.646303,True
277.780252,44,105.259034,True
278.207657,104,125.36043,True
264.963169,23,129.850796,True
10.68408,120,153.529663,False
14.908666,200,192.557342,False
288.268254,59,204.433047,True
289.42064,61,216.951132,True
273.813547,37,224.272756,True
268.264427,27,229.660727,True
274.137402,39,237.481737,True
289.616103,62,249.94411,True
278.977436,49,260.088339,True
263.217777,16,263.328104,True
266.911458,49,273.056827,True
277.744217,46,282.347552,True
270.06489,29,287.991401,True
263.076225,35,294.753444,True
-9.897331,200,356.798577,False
267.803067,71,371.070164,True
276.649687,39,378.754779,True
278.285397,46,388.177129,True
274.200066,46,397.49081,True
274.719691,56,408.41164,True
288.761145,64,420.954344,True
-39.812056,20,424.830418,False
287.546305,56,435.888499,True
272.627879,60,448.034874,True
284.871968,51,458.383556,True
276.372722,57,469.562412,True
275.015041,39,477.185278,True
-14.820346,200,516.862711,False
285.440078,55,527.815034,True
271.523533,30,533.742169,True
272.047462,68,547.350836,True
-42.616608,27,552.581002,False
286.384718,55,563.119248,True
16.09329,200,602.192765,False
283.851412,55,613.127866,True
257.759692,15,616.065297,True
282.604068,60,627.767166,True
-25.04448,21,631.869781,False
19.095525,200,670.808928,False
276.165083,40,678.602218,True
275.258569,40,708.182031,True
277.436481,52,718.242133,True
270.178102,28,723.610478,True
272.745748,29,729.193625,True
283.229472,62,741.365456,True
259.960815,14,744.111791,True
290.010348,68,757.438934,True
25.934493,200,796.973152,False
286.577979,62,809.056459,True
269.474566,58,820.427272,True
279.226879,53,830.797184,True
17.71693,200,870.846595,False
285.378648,58,882.120798,True
279.556389,55,892.789567,True
266.067646,43,901.132549,True
277.986362,40,909.172615,True
256.760011,78,924.729387,True
-13.250786,200,964.250656,False
289.72287,61,976.273459,True
273.884595,32,982.57307,True
278.331255,49,992.127145,True
281.421777,52,1002.23669,True
277.263943,42,1010.556784,True
282.514879,56,1021.316834,True
276.145973,42,1029.617585,True
276.334099,65,1070.471951,True
262.042005,19,1074.207231,True
288.812796,63,1086.510363,True
278.54507,48,1095.906136,True
283.681594,56,1106.8103,True
283.01602,50,1116.679475,True
279.836832,50,1126.411447,True
285.83279,63,1138.628699,True
13.186954,200,1177.665022,False
259.706708,24,1182.449512,True
256.493978,76,1197.767121,True
274.442231,41,1205.896769,True
16.446268,200,1245.683395,False
-44.508625,56,1256.607818,False
260.275028,16,1259.746922,True
-18.991508,52,1269.821795,False
257.957869,41,1277.840671,True
10.684921,200,1317.080933,False
281.340764,66,1329.844647,True
261.072617,18,1333.395572,True
283.803463,67,1346.430524,True
261.713266,19,1350.108902,True
263.8246,40,1357.881863,True
268.686469,28,1363.418479,True
277.611068,42,1371.643826,True
269.766252,62,1383.827218,True
286.260178,63,1417.965057,True
261.955471,13,1420.489971,True
276.89904,38,1427.839064,True
259.89416,38,1435.242284,True
284.944928,64,1447.887681,True
279.075575,44,1456.675627,True
289.603065,66,1469.716604,True
272.58352,33,1476.243224,True
286.159215,66,1489.431137,True
281.54765,54,1499.754017,True
273.80452,60,1511.590294,True
280.759316,65,1524.476053,True
263.233697,73,1538.852649,True
277.620043,44,1547.344172,True
268.773466,59,1558.749373,True
282.22938,51,1568.632075,True
-201.497996,178,1603.000809,False
260.260634,20,1606.941238,True
277.618338,28,1612.527112,True
282.154339,44,1621.406121,True
269.13506,67,1634.554642,True
265.313705,41,1643.133718,True
272.030498,35,1650.150059,True
260.50183,13,1652.827085,True
273.285515,37,1660.026655,True
54.46272,200,1698.753608,False
273.0102,28,1704.180308,True
280.629364,40,1711.92877,True
38.925751,200,1772.511221,False
285.809743,80,1787.89502,True
270.639586,27,1793.123756,True
262.599817,11,1795.226992,True
256.529411,72,1809.079402,True
274.696542,36,1816.026253,True
281.051654,76,1830.642579,True
274.711688,30,1836.430173,True
271.359223,26,1841.547448,True
265.729381,15,1844.44821,True
275.701535,33,1850.814416,True
283.67515,52,1860.922553,True
280.112194,52,1870.868815,True
-40.659881,25,1875.694453,False
-26.717342,130,1901.30411,False
286.980798,55,1912.155654,True
260.983819,14,1914.972001,True
279.493168,52,1925.16376,True
272.294093,39,1934.67511,True
286.23781,64,1947.147789,True
282.726223,64,1959.753523,True
281.099196,38,1967.283535,True
283.340359,64,1979.921711,True
286.331942,79,1995.514175,True
273.036452,35,2002.269291,True
272.836919,39,2010.280422,True
275.631519,39,2018.020009,True
280.378723,61,2029.791134,True
263.457017,13,2032.318055,True
282.488983,54,2042.62474,True
281.7566,57,2053.648119,True
271.244649,35,2060.514514,True
287.729469,67,2075.018933,True
290.108755,76,2118.117447,True
279.746917,35,2124.962021,True
283.549778,55,2135.449397,True
270.524246,27,2140.630515,True
284.089291,49,2150.265429,True
282.872262,62,2162.193182,True
271.635426,25,2167.119012,True
276.390646,31,2173.093893,True
279.847301,37,2180.18332,True
266.052729,97,2198.928941,True
281.262573,39,2206.732349,True
263.555481,14,2209.540076,True
283.408724,61,2222.152503,True
288.368203,73,2236.541923,True
273.847616,43,2245.041943,True
288.948808,84,2261.648537,True
276.995484,32,2268.27505,True
285.491539,75,2283.602588,True
-13.628786,200,2324.405243,False
