#{"t_start": 1785338924.6664872, "env_id": "None"}
r,l,t,is_success
236.034179,11,0.928079,True
209.018398,11,1.061345,True
209.346002,12,1.202708,True
1.489374,120,2.523427,False
-29.204762,200,57.339879,False
-55.111309,120,102.718763,False
-71.434595,200,177.810786,False
-21.629062,200,252.62886,False
-30.809423,200,345.19951,False
-5.757654,120,389.998829,False
-26.666624,200,465.737367,False
-17.255713,120,512.084815,False
56.603835,120,557.085696,False
-19.302642,200,632.284321,False
46.347015,120,678.521208,False
-13.138349,200,772.929701,False
-21.126372,200,848.232593,False
52.852168,70,874.765927,False
19.506062,120,920.00164,False
-10.77726,200,995.346008,False
49.69915,100,1033.579345,False
-14.358133,200,1107.738588,False
222.654086,70,1134.247373,True
48.151358,70,1178.317371,False
22.936392,120,1223.520079,False
259.203686,14,1228.874504,True
260.523133,17,1235.545091,True
21.025159,120,1280.913346,False
-41.075576,200,1356.342156,False
10.776301,100,1394.811796,False
-18.050658,200,1471.140288,False
52.232079,200,1546.188885,False
62.386092,100,1602.190289,False
-7.856927,200,1678.793113,False
13.761342,120,1724.259482,False
-25.324687,200,1799.042023,False
-17.328035,200,1874.434557,False
-14.744424,200,1951.624882,False
-15.074065,200,2044.681249,False
-19.6221,200,2120.572187,False
261.175119,37,2134.317481,True
15.639124,200,2211.887069,False
-24.775579,200,2289.529893,False
-4.990724,200,2366.121977,False
-11.154532,200,2461.269552,False
-48.588806,19,2468.92038,False
34.948713,100,2507.380197,False
235.797635,11,2511.566156,True
271.168803,51,2530.917614,True
264.78082,59,2553.61077,True
-6.674066,120,2599.187418,False
-8.779192,200,2675.658307,False
22.230709,70,2702.085829,False
17.484762,120,2747.402722,False
-9.968279,200,2842.958069,False
-0.548071,200,2918.869948,False
25.837798,100,2956.924921,False
12.78364,120,3002.779539,False
15.637079,200,3078.227363,False
-20.136839,200,3154.423222,False
21.635704,200,3247.998835,False
-18.171219,200,3323.786345,False
-12.261506,200,3400.439415,False
264.742652,35,3413.829579,True
-56.852766,200,3489.65483,False
277.032318,38,3504.348047,True
260.921443,12,3508.960034,True
274.922874,36,3522.465235,True
18.443707,200,3599.582642,False
-16.186998,120,3666.628763,False
-29.578744,200,3745.190124,False
278.422016,65,3770.442462,True
-11.078812,200,3849.203484,False
17.456946,200,3926.503162,False
9.528481,200,4004.484489,False
-22.030157,200,4100.529819,False
16.001959,120,4148.163846,False
258.632071,18,4155.282587,True
20.409048,120,4201.206504,False
-5.043585,200,4276.98044,False
15.096553,200,4353.292798,False
50.005626,70,4379.91216,False
272.567518,40,4395.131408,True
-134.251669,200,4489.757814,False
53.467278,100,4527.823406,False
270.523379,36,4541.331337,True
267.648441,37,4555.286056,True
-25.497218,200,4630.874404,False
-8.302337,200,4705.701947,False
269.99806,51,4725.130301,True
59.378891,70,4751.691509,False
-11.248477,200,4827.453919,False
260.374998,21,4835.253757,True
235.05273,23,4844.007334,True
251.89485,47,4861.533684,True
-4.975985,120,4923.338591,False
269.451199,45,4940.161409,True
263.007354,14,4945.350738,True
261.547371,17,4951.766855,True
-2.559476,200,5027.763483,False
271.642856,52,5047.529907,True
18.719939,200,5122.916138,False
-12.863127,200,5198.057491,False
19.953704,200,5273.930481,False
-3.09857,120,5336.906447,False
268.352466,34,5349.811408,True
268.541071,74,5377.343877,True
260.943188,15,5382.923949,True
-6.741436,200,5458.539197,False
269.092107,33,5470.909547,True
260.352919,30,5482.375171,True
-10.148599,200,5557.793458,False
269.314655,47,5576.245617,True
-14.862881,200,5652.84609,False
258.221234,17,5659.177641,True
-199.78392,183,5747.953004,False
252.129106,59,5770.202977,True
20.677771,120,5816.164557,False
-7.137502,200,5892.183998,False
273.706609,21,5900.08843,True
259.666334,17,5906.562242,True
-9.411506,200,5982.929857,False
263.007426,12,5987.542539,True
-7.398891,200,6064.593073,False
-12.068647,200,6158.258578,False
-17.945638,200,6232.996527,False
269.281745,32,6245.134992,True
271.698555,26,6255.126714,True
-14.864588,200,6331.242783,False
259.551754,11,6335.925772,True
282.099202,79,6365.975891,True
271.066384,41,6382.015585,True
17.88616,200,6457.16729,False
-18.38431,36,6470.965862,False
-9.219069,200,6564.692003,False
267.453508,64,6588.867577,True
257.255724,20,6596.659466,True
17.495574,200,6672.342453,False
266.981621,29,6683.289028,True
-17.064555,120,6728.541058,False
12.677166,200,6804.152581,False
259.941061,15,6809.728187,True
-183.58948,123,6856.677036,False
17.390981,200,6931.81097,False
261.860492,16,6937.776033,True
270.247263,106,6997.625602,True
-18.975468,36,7011.326223,False
8.898542,200,7087.474771,False
10.333516,200,7163.691694,False
-11.619829,200,7240.165102,False
-14.338168,200,7316.720415,False
-9.009847,200,7413.357465,False
-31.414304,65,7437.961789,False
18.338763,120,7483.512025,False
-16.325225,200,7559.5584,False
-6.16879,200,7635.229673,False
261.817534,11,7639.507349,True
258.504945,17,7645.962848,True
-212.22608,172,7711.307216,False
268.545403,26,7720.971987,True
4.242005,200,7811.987334,False
10.175015,200,7888.770435,False
259.372503,23,7897.834892,True
274.803889,33,7910.299842,True
16.689572,200,7986.737489,False
-28.370459,49,8005.32133,False
-21.62806,200,8081.617306,False
-15.695848,200,8159.65909,False
9.145473,200,8255.543176,False
6.801039,200,8332.927238,False
18.168283,200,8410.609995,False
9.777284,200,8487.311017,False
269.150639,24,8496.650425,True
273.462142,24,8506.152208,True
-11.406049,200,8583.101434,False
-20.237669,49,8602.118652,False
-26.96859,33,8630.571402,False
13.005861,200,8707.205729,False
-9.668887,200,8785.080162,False
59.046973,200,8862.528781,False
271.359128,31,8874.725416,True
20.60415,200,8951.47827,False
273.656419,27,8961.84175,True
255.337269,103,9001.529479,True
11.497639,200,9092.647677,False
260.14269,27,9102.717975,True
267.069719,29,9113.748679,True
273.426639,105,9154.595714,True
254.91587,25,9164.218465,True
11.348912,200,9241.839388,False
260.3288,17,9248.585448,True
271.62763,40,9264.442645,True
10.42224,200,9342.28512,False
58.23848,100,9381.313495,False
-42.609183,43,9397.66465,False
-168.337086,187,9512.190588,False
12.422946,200,9598.697145,False
-6.913848,200,9682.422626,False
260.901125,13,9687.547711,True
275.641739,41,9704.01434,True
-33.449532,200,9781.843658,False
269.600137,26,9791.755708,True
23.712566,200,9869.320723,False
-11.543986,200,9961.398001,False
278.034929,39,9976.039876,True
279.66375,39,9990.900432,True
276.741149,32,10002.836065,True
279.636997,44,10019.291151,True
17.532035,200,10095.687611,False
12.030755,120,10141.234827,False
-170.103104,189,10212.587178,False
271.31661,40,10227.353189,True
