#{"t_start": 1785338923.141803, "env_id": "None"}
r,l,t,is_success
-76.193589,200,4.45562,False
-24.618375,200,76.254146,False
-21.60787,120,121.678787,False
51.435328,100,159.268732,False
-30.047242,200,233.863572,False
-24.330845,200,309.707392,False
13.168807,120,371.371764,False
260.004631,18,377.987463,True
234.939306,21,385.846447,True
-8.014108,200,461.551935,False
-17.24215,200,537.602672,False
-12.396303,200,613.333111,False
-19.681055,200,689.871527,False
-16.718959,200,783.805027,False
103.574952,100,821.411157,False
-43.200381,200,896.854661,False
20.302736,70,923.338513,False
-14.117682,200,998.738782,False
-14.450541,200,1074.454645,False
-24.329701,200,1166.827446,False
-19.242295,120,1211.948174,False
-14.246878,120,1257.44903,False
-58.534573,200,1332.910283,False
7.821904,200,1409.185044,False
-18.732297,200,1485.08982,False
-19.145446,200,1578.384132,False
-8.971136,200,1654.525153,False
-14.933566,200,1731.003825,False
51.03317,100,1768.58761,False
18.914276,120,1813.416371,False
-203.491429,190,1885.276445,False
-13.065193,200,1962.213912,False
-16.339469,200,2055.134029,False
-174.491191,113,2098.203827,False
14.759249,200,2174.912395,False
10.172975,120,2221.116197,False
38.574852,100,2260.225869,False
15.876669,120,2306.068799,False
38.520758,100,2344.268542,False
12.192104,200,2439.226332,False
21.804238,200,2516.845386,False
-6.355273,200,2593.253241,False
34.557265,200,2669.607796,False
-9.879835,200,2745.106692,False
-1.086588,200,2840.533774,False
-17.757433,45,2858.288914,False
-8.785362,200,2933.685079,False
-5.769663,200,3009.945946,False
-163.105845,85,3041.810371,False
-7.705385,200,3118.061924,False
-6.640444,120,3163.694045,False
-4.835274,120,3209.176412,False
-9.990257,200,3302.445355,False
259.252185,23,3311.149312,True
-14.037752,200,3387.862166,False
-31.980722,196,3462.513249,False
-13.489785,120,3508.212634,False
23.811026,120,3554.219995,False
-18.775732,200,3651.681021,False
21.27834,200,3730.573784,False
-13.233287,200,3809.312473,False
-17.907214,200,3886.619497,False
256.673013,77,3916.636493,True
-11.334963,200,3994.540073,False
-17.729276,200,4090.160578,False
-11.388098,120,4137.901495,False
55.660555,70,4165.122753,False
12.600776,120,4211.122066,False
-6.863127,200,4287.172631,False
-10.488237,120,4332.949817,False
-15.619628,200,4408.63826,False
-13.487315,200,4503.578184,False
233.57419,20,4511.108617,True
-17.831189,200,4587.002293,False
55.973927,100,4624.61537,False
18.257393,200,4699.418564,False
-7.406195,200,4775.62579,False
272.026535,28,4786.328282,True
18.887901,200,4861.191517,False
265.978,17,4867.725794,True
262.608793,19,4874.868756,True
-18.615599,31,4902.820857,False
-12.105813,200,4978.684394,False
-15.967864,200,5054.405122,False
82.933126,70,5080.79231,False
-4.874716,200,5156.051584,False
-13.251149,200,5231.630279,False
-13.173661,200,5324.886699,False
271.283257,39,5339.593116,True
-3.667262,200,5415.06161,False
268.084135,21,5422.848198,True
270.461642,32,5434.720945,True
-12.508924,200,5510.016827,False
273.260525,87,5542.922961,True
-13.251243,200,5620.059456,False
271.528455,31,5631.788279,True
-3.103231,200,5727.00841,False
261.07537,16,5733.045995,True
242.777085,26,5742.967425,True
261.097045,20,5750.662525,True
12.928397,120,5796.228134,False
246.478954,144,5850.667955,True
17.806559,120,5896.700232,False
277.737996,38,5911.132341,True
262.286744,28,5921.708395,True
-40.980432,22,5930.218858,False
-6.87884,200,6006.981325,False
266.732959,38,6022.199213,True
-20.247713,200,6097.52697,False
273.525604,32,6109.723117,True
10.422988,200,6203.305178,False
282.867225,115,6246.264835,True
270.985455,38,6260.719872,True
270.266108,32,6273.099077,True
258.442729,16,6279.183323,True
-21.332872,200,6355.501355,False
-25.258974,200,6431.911997,False
14.831689,200,6507.977943,False
-2.240917,200,6601.264051,False
276.574364,53,6621.405334,True
279.453719,45,6638.30708,True
-4.729487,200,6713.732131,False
264.204085,39,6728.515305,True
-16.428968,120,6774.287701,False
269.725352,44,6790.68576,True
66.546487,120,6835.843122,False
267.436858,26,6845.948686,True
-6.951662,120,6891.086348,False
-17.222876,200,6986.255745,False
269.140611,62,7009.854442,True
-184.486133,107,7050.657956,False
255.057413,90,7084.794381,True
270.171478,45,7102.016079,True
22.675685,200,7178.496222,False
273.324387,47,7196.2569,True
-9.817669,200,7272.541939,False
18.952758,200,7348.923649,False
272.480689,32,7361.12121,True
269.370209,30,7393.223852,True
-14.963198,200,7469.095046,False
-5.570149,200,7544.936976,False
275.874893,31,7556.786924,True
18.856818,200,7632.566464,False
13.332027,120,7678.455191,False
-30.416476,60,7701.081769,False
21.143372,200,7777.534802,False
