#{"t_start": 1785338924.262725, "env_id": "None"}
r,l,t,is_success
-78.049261,200,3.334697,False
-41.34782,100,37.557558,False
8.100543,100,75.133224,False
-46.479426,200,150.407365,False
11.212066,120,195.061311,False
-29.344126,200,270.773919,False
-22.879814,120,315.94576,False
-14.981763,200,407.720414,False
256.130358,21,415.687866,True
259.505844,35,428.952631,True
48.419381,100,466.867951,False
-33.226739,200,542.800157,False
264.593153,87,575.684063,True
249.033771,94,611.425148,True
-22.737528,200,688.005082,False
-13.272376,200,781.932011,False
-23.417333,200,857.123543,False
-17.71951,200,932.519603,False
42.116259,200,1008.50484,False
-197.75949,67,1033.98211,False
-17.298957,200,1108.14235,False
-24.105124,200,1201.125842,False
-19.654761,200,1277.119298,False
-14.498731,200,1352.617667,False
-13.761226,200,1428.666744,False
-14.359518,200,1504.702601,False
-19.062685,200,1598.470012,False
-3.212928,200,1675.079345,False
261.548941,11,1679.198847,True
-10.283472,200,1754.812449,False
21.926399,200,1829.808577,False
18.328573,120,1874.839319,False
-13.331239,200,1952.029641,False
53.44422,100,2007.77144,False
264.460678,20,2015.134354,True
268.553716,58,2036.86673,True
-13.466345,120,2082.295351,False
-9.290793,200,2159.072166,False
39.083593,120,2205.23518,False
6.249384,200,2282.462377,False
-24.169926,139,2335.431105,False
-6.291499,200,2430.303805,False
-13.055606,120,2477.473664,False
28.645538,70,2504.283947,False
6.517358,200,2580.722746,False
16.587133,200,2657.194585,False
-2.230547,200,2732.599267,False
18.361405,120,2778.2366,False
12.558227,120,2843.361831,False
-9.522864,200,2919.27371,False
252.999216,63,2943.122052,True
-14.438292,200,3019.34869,False
16.701729,120,3064.556359,False
-12.719257,200,3140.788974,False
-4.890039,200,3234.322142,False
254.399801,33,3246.885598,True
-14.386,200,3322.604379,False
37.844469,100,3361.086699,False
-19.154575,200,3437.527124,False
25.661119,200,3513.54112,False
-6.741024,200,3590.384991,False
-12.861313,120,3657.090106,False
-9.259952,200,3735.891717,False
11.276846,120,3782.600758,False
6.914435,200,3861.145245,False
-22.056256,200,3938.463702,False
58.68667,100,3977.485225,False
-8.028216,200,4072.728361,False
-8.068526,200,4152.440406,False
271.457524,39,4167.568492,True
234.768026,51,4187.079374,True
-6.381987,120,4233.033806,False
19.294535,200,4309.084789,False
-30.41861,53,4329.169059,False
-10.686759,200,4404.862502,False
-18.437258,200,4499.798732,False
59.281144,100,4537.557985,False
-10.918197,200,4613.385807,False
-172.262554,110,4654.369351,False
60.69311,120,4699.410527,False
-50.896342,49,4718.089623,False
48.437815,120,4763.367115,False
15.875534,200,4839.002629,False
63.247449,100,4876.767262,False
-14.663055,200,4968.656121,False
261.754192,86,5001.330258,True
259.8326,46,5018.740501,True
-192.606066,110,5060.475112,False
260.627179,17,5066.850455,True
-4.449368,120,5111.811882,False
30.013285,120,5157.156694,False
260.42084,17,5163.532271,True
-6.21033,200,5239.132457,False
-14.946215,200,5332.354977,False
-191.206748,167,5395.294806,False
270.888111,36,5409.040147,True
263.134282,69,5434.708452,True
-10.296329,200,5509.998563,False
-4.252872,200,5586.668409,False
269.66089,37,5600.928453,True
270.957157,34,5613.945749,True
-31.221099,55,5634.799966,False
259.060463,13,5639.771661,True
-7.241679,200,5735.11369,False
272.751958,90,5769.086071,True
5.313974,200,5845.063534,False
-206.214734,88,5878.939514,False
271.293605,32,5891.083661,True
-8.020678,200,5967.374512,False
-18.008033,60,5990.227424,False
-8.444243,200,6067.254738,False
10.128899,200,6160.806257,False
259.889394,17,6167.218437,True
-15.208915,200,6242.115589,False
273.786956,69,6268.642108,True
6.275141,200,6345.081046,False
258.148072,13,6349.868517,True
-182.914299,200,6426.34238,False
278.499236,69,6452.026826,True
13.567897,200,6528.754111,False
-17.702836,200,6621.751565,False
273.933704,37,6635.717866,True
-14.917768,200,6711.117419,False
-17.844962,200,6786.930292,False
-40.858432,23,6795.595399,False
262.32826,14,6800.912928,True
268.534944,30,6811.999931,True
-226.790897,185,6882.188607,False
-16.061757,200,6976.980751,False
278.766873,56,6998.399475,True
-8.389799,200,7074.523049,False
272.116975,34,7087.508703,True
-8.418271,200,7163.718791,False
-30.890274,80,7194.373718,False
269.63551,24,7203.674104,True
257.600567,27,7214.182151,True
14.526093,120,7259.451917,False
25.045138,200,7335.769199,False
261.823959,19,7342.946354,True
260.560961,18,7350.087143,True
-23.451765,79,7401.067617,False
266.435481,20,7408.578613,True
13.688087,200,7484.287358,False
274.050666,27,7494.715357,True
21.940638,200,7570.589844,False
14.854986,200,7646.368607,False
-19.16944,200,7722.103448,False
-41.228132,29,7733.263617,False
262.079293,17,7739.705736,True
-4.514896,200,7830.54907,False
22.179884,120,7877.021676,False
13.50627,200,7953.540629,False
-13.208406,200,8029.475998,False
-30.021977,50,8048.478897,False
258.484567,17,8054.749256,True
-23.019562,62,8078.997988,False
13.516462,200,8156.936029,False
19.357468,200,8252.825614,False
278.492611,96,8289.798114,True
15.070952,200,8367.465466,False
-23.823789,63,8391.923588,False
22.263104,200,8468.942046,False
13.145585,200,8546.236745,False
265.875548,18,8553.202192,True
15.177148,200,8646.042019,False
261.415441,15,8651.965077,True
-103.708492,200,8729.136305,False
273.357811,34,8742.35739,True
269.118806,22,8750.690338,True
-5.660993,200,8828.25863,False
259.70797,19,8835.559301,True
-16.202141,30,8847.115993,False
14.93281,200,8924.386438,False
280.235097,43,8940.828992,True
271.052059,34,8953.793153,True
8.532561,200,9044.760519,False
263.660059,15,9050.617693,True
-202.78815,148,9107.277048,False
-22.086711,200,9184.999285,False
271.442311,64,9209.828086,True
-5.916576,200,9287.815494,False
-26.400907,29,9299.097818,False
-42.648658,44,9316.107234,False
3.454498,120,9362.738676,False
14.853833,200,9452.794729,False
-29.153605,114,9527.93576,False
273.582927,33,9542.227353,True
53.785554,120,9594.854576,False
13.636445,100,9635.535877,False
258.146199,22,9644.3717,True
273.654903,80,9678.804426,True
256.864698,25,9689.269196,True
274.377531,35,9703.202074,True
22.240491,200,9781.144062,False
-4.229922,200,9858.303477,False
274.085642,33,9871.206128,True
-5.692898,200,9963.316148,False
-16.451494,200,10039.192713,False
59.922329,120,10084.729195,False
56.530648,200,10160.755366,False
-19.105927,200,10235.406359,False
