#{"t_start": 1785357583.5527475, "env_id": "None"}
r,l,t,is_success
-17.399328,200,42.684764,False
-29.66756,200,81.767288,False
264.539356,58,92.990464,True
-21.895468,200,131.404079,False
-11.508117,200,169.670092,False
35.005415,200,208.430422,False
18.483173,100,227.676934,False
-16.179429,200,266.785056,False
-18.052387,200,306.692892,False
-63.35764,200,358.792381,False
13.934329,200,397.201622,False
-12.839473,200,435.177997,False
-16.041513,200,472.974691,False
276.93832,44,481.336951,True
271.346667,63,493.494055,True
258.976398,26,498.463407,True
267.664846,36,505.37269,True
267.523867,107,525.968307,True
26.247905,200,564.10219,False
259.191312,14,566.773934,True
267.630748,38,574.06072,True
272.640966,50,583.850126,True
-29.707405,200,622.322517,False
53.474221,120,645.421239,False
-54.052662,52,655.423934,False
-8.756797,200,705.344382,False
282.096596,68,718.518538,True
276.446524,84,734.713127,True
271.806143,132,759.844665,True
267.978092,33,766.077109,True
6.909598,200,804.843143,False
13.419782,120,828.086967,False
-25.51129,120,851.324603,False
-17.544444,200,890.027227,False
-26.111994,27,895.235201,False
-27.791314,200,932.830073,False
270.359829,52,942.549378,True
8.52461,200,981.416003,False
-20.466804,200,1032.385297,False
272.201894,121,1055.556549,True
47.642807,120,1078.569297,False
273.889076,117,1101.577046,True
271.923522,45,1110.249545,True
-5.679485,200,1148.85511,False
21.461423,200,1187.768716,False
267.505105,109,1208.882339,True
-17.615023,120,1232.45071,False
259.116195,15,1235.404803,True
-10.85657,200,1273.79986,False
260.745201,55,1284.270376,True
271.199565,35,1290.96945,True
271.453338,33,1297.250502,True
272.062492,39,1304.665087,True
-15.060433,200,1355.21474,False
271.233399,102,1374.495684,True
259.433201,15,1377.336581,True
257.454928,39,1384.830608,True
277.120495,94,1402.927852,True
279.568721,68,1416.045716,True
266.098533,97,1434.818455,True
263.729434,56,1445.734309,True
259.852269,16,1448.865895,True
276.521169,69,1462.049365,True
259.569059,10,1463.929205,True
267.441787,46,1472.683125,True
267.727792,24,1477.231085,True
-42.199776,29,1482.772351,False
235.928198,11,1484.884181,True
270.184062,101,1504.139412,True
274.469079,32,1510.205785,True
13.680931,200,1548.153812,False
273.584833,40,1555.673333,True
-46.865376,120,1578.192638,False
-186.162307,166,1609.562321,False
260.066874,17,1612.811133,True
71.536153,120,1636.492426,False
-18.007129,120,1671.361094,False
-12.242272,200,1709.360958,False
275.515698,70,1722.474142,True
268.11127,118,1745.152365,True
266.952157,74,1759.596213,True
274.502409,34,1766.238437,True
276.464791,40,1774.097748,True
13.296533,200,1812.895015,False
270.914292,31,1818.957681,True
277.042629,46,1827.994499,True
286.815599,79,1843.495694,True
268.92515,66,1856.386873,True
74.465024,120,1879.204362,False
-44.227698,45,1887.823763,False
259.626368,15,1890.684589,True
288.30916,82,1906.35991,True
284.376529,65,1919.300189,True
-12.765987,200,1958.31389,False
15.097685,200,2007.380349,False
9.639751,200,2045.610507,False
279.371265,73,2059.683239,True
9.117609,200,2098.217317,False
260.035623,14,2101.164168,True
-213.842984,184,2137.853184,False
277.076636,58,2149.342422,True
21.776317,200,2187.64575,False
253.440386,49,2196.913553,True
1.724526,200,2235.800069,False
238.130832,74,2249.991124,True
258.797621,15,2252.851244,True
-8.505299,200,2291.482722,False
282.776994,71,2305.033397,True
261.851652,15,2307.910317,True
274.632631,87,2335.355196,True
-13.073589,120,2358.970095,False
49.94672,200,2397.238046,False
238.979782,68,2410.163484,True
44.570626,200,2447.985209,False
-7.058736,200,2486.379141,False
-11.508174,200,2524.839756,False
274.766084,66,2537.490508,True
-9.524325,200,2575.389214,False
-44.292746,39,2582.892495,False
269.220315,29,2588.485892,True
264.593773,65,2600.856488,True
270.012657,37,2607.911005,True
279.740931,43,2616.113757,True
235.477861,18,2619.558304,True
0.98456,120,2642.485386,False
259.15109,16,2645.574765,True
-176.483298,118,2676.265776,False
-13.387545,120,2698.9742,False
-22.28041,200,2736.999479,False
280.175622,73,2750.977129,True
271.431406,30,2756.714867,True
284.713365,63,2768.795585,True
-8.276494,200,2806.890265,False
273.052942,43,2815.063518,True
259.298698,14,2817.731907,True
-7.280803,200,2857.034675,False
7.138416,120,2880.055834,False
9.164366,120,2903.376655,False
-9.409701,120,2926.493981,False
278.948596,52,2936.302652,True
257.653248,18,2939.772785,True
13.877092,200,2978.192208,False
282.648924,72,3000.60364,True
15.658571,200,3039.566177,False
283.73316,69,3052.940804,True
271.487374,41,3060.833138,True
261.120373,27,3066.149046,True
261.124249,37,3073.326279,True
-165.255473,93,3091.457057,False
281.313764,57,3102.722943,True
18.482497,120,3126.338789,False
29.384548,200,3163.965689,False
258.545258,53,3173.950166,True
270.493184,22,3178.087014,True
272.314056,30,3183.934635,True
14.797412,200,3222.83929,False
15.264173,120,3246.156824,False
-20.172436,200,3284.667876,False
43.771384,200,3331.666681,False
14.74534,120,3354.40544,False
268.81915,75,3368.975269,True
268.553558,39,3376.307124,True
261.2589,16,3379.329795,True
236.601584,76,3393.943464,True
274.673331,41,3401.848657,True
13.554789,200,3440.271337,False
281.348795,106,3460.214489,True
-17.660673,200,3498.559491,False
23.569488,120,3521.800116,False
45.954639,120,3545.010693,False
272.93878,31,3550.899747,True
272.869122,73,3564.650293,True
284.978666,77,3579.809195,True
263.090758,13,3582.445239,True
-17.927111,200,3621.331427,False
16.063605,200,3670.102328,False
235.879018,13,3672.614406,True
68.260231,200,3710.878136,False
275.488704,37,3717.922865,True
273.93641,29,3723.547538,True
288.642095,65,3736.155429,True
260.184781,22,3740.315365,True
273.807583,111,3761.322897,True
262.392632,22,3765.457385,True
261.0582,13,3767.931401,True
-189.455728,105,3787.969547,False
259.171076,14,3790.690314,True
287.450014,72,3804.550707,True
260.691686,70,3818.028639,True
260.554859,25,3822.776784,True
272.143746,38,3830.00145,True
-9.524222,200,3868.210221,False
283.323261,60,3879.669935,True
269.69132,46,3888.464519,True
280.203815,53,3898.600839,True
285.550033,65,3911.024836,True
282.982116,56,3921.64141,True
-9.756726,200,3959.691858,False
275.63937,45,3968.524516,True
275.71234,37,3983.764741,True
286.214297,65,3996.339324,True
280.366775,83,4012.515156,True
282.020701,84,4028.87342,True
279.090244,69,4042.363775,True
278.933249,52,4052.443995,True
